history_block_num,rentrex,loan_num,total_lendable,total_lent,total_rent,total_rex,total_unlent
104371200,1873,258121,68739613.3477,46917052.9209,11647.4038,683894833534.5292,21822560.4268
104198400,1797,257895,69117312.099,47560399.9855,11997.4882,687661861863.429,21556912.1135
104025600,1731,257260,69189094.7664,47994812.2124,12243.2274,688385737843.8716,21194282.554
103852800,1815,256914,69433793.6665,47608566.7129,12027.2215,690830205932.7533,21825226.9536
103680000,1808,256591,68306847.2989,47082156.0133,11735.2993,679627645561.3016,21224691.2856
103507200,1685,256332,68037715.2523,47681528.9333,12080.2237,676960052173.8491,20356186.319
103334400,1984,256023,67536220.1652,45692376.2663,11010.6229,671980387215.2885,21843843.8989
103161600,2600,255713,68414772.9107,42898960.0403,9814.6193,680731400377.2275,25515812.8704
102988800,2512,255451,68340498.565,43296881.6927,9968.8592,680001886141.4438,25043616.8723
102816000,4131,255022,68246196.8232,36185040.0128,7759.5398,679072834701.0096,32061156.8104
102643200,2194,254093,68567997.7788,45096106.1166,10698.2616,682282613717.961,23471891.6622
102470400,526,253600,69122462.9659,57347401.3111,22392.8889,687806541112.9344,11775061.6548
102297600,527,253403,69054928.7334,57296809.1826,22295.9158,687141161793.6543,11758119.5508
102124800,539,253260,69149673.5166,57211557.983,22136.3829,688089865335.4369,11938115.5336
101952000,532,253138,68777184.8298,57100412.9944,21930.0817,684389491301.5723,11676771.8354
101779200,535,253033,68787543.0457,57073735.9591,21880.1681,684498554384.2498,11713807.0866
101606400,528,252907,68587177.4965,57056126.0909,21846.8071,682510958110.762,11531051.4056
101433600,534,252784,68642366.3465,57016406.4602,21772.0993,683066499103.2745,11625959.8863
101260800,524,252606,68234540.727,56918662.1363,21585.8587,679014189633.6237,11315878.5907
101088000,532,252411,68210927.1379,56817923.6708,21395.2364,678784494062.326,11393003.4671
100915200,544,252210,68331945.8965,56752738.2783,21273.4287,679994517924.7072,11579207.6182
100742400,558,251956,68421083.2562,56650720.0607,21088.4158,680887026344.2823,11770363.1955
100569600,556,251701,68502620.889,56714757.1173,21204.1704,681703598195.5886,11787863.7717
100396800,562,251374,68713134.7724,56754525.4761,21275.1471,683803035257.4802,11958609.2963
100224000,579,250979,68691627.726,56564071.4452,20936.9907,683592923542.944,12127556.2808
100051200,595,250664,68795171.5625,56446731.8506,20737.244,684627076810.8905,12348439.7119
99878400,599,250383,68785237.4473,56405476.5301,20668.2159,684531823922.7188,12379760.9172
99705600,599,250045,68944854.5913,56490017.7238,20808.6935,686123837282.5243,12454836.8675
99532800,636,249807,69053622.102,56161898.28,20275.1487,687209402455.5695,12891723.822
99360000,714,249486,69219283.8352,55471336.6467,19249.852,688860652259.9734,13747947.1885
99187200,720,249207,69206396.262,55412353.9285,19168.0982,688734763779.2675,13794042.3335
99014400,776,248762,69621932.0105,55088805.4066,18737.1638,692872259651.28,14533126.6039
98841600,805,248342,69532530.8149,54775511.4399,18341.8426,691984331710.4923,14757019.375
98668800,931,247850,70388331.1604,54067573.4461,17525.4187,700502600488.8629,16320757.7143
98496000,865,247519,71120512.8598,55028587.1023,18612.9898,707790367524.4028,16091925.7575
98323200,885,246166,71289498.905,54918841.73,18487.1899,709472873443.7059,16370657.175
98150400,819,244812,72089642.2893,55964747.8314,19697.3845,717436054023.2084,16124894.4579
97977600,983,242424,72438774.4681,54575662.0765,18166.6346,721025036419.6653,17863112.3916
97804800,428,240002,73729637.8919,61567950.0015,28397.2511,734239297223.4263,12161687.8904
97632000,445,239730,73450273.9542,61192364.0543,27542.9567,731469686995.7902,12257909.8999
97459200,444,239730,73431374.7755,61192364.0543,27542.9567,731285407352.0325,12239010.7212
97286400,444,239730,73434901.0896,61192364.0543,27542.9567,731324536601.2072,12242537.0353
97113600,444,239730,73433968.1897,61192364.0543,27542.9567,731319691022.1317,12241604.1354
96940800,444,239730,73431103.4167,61192364.0543,27542.9567,731291728235.1223,12238739.3624
96768000,444,239730,73435276.9012,61192364.0543,27542.9567,731344867028.248,12242912.8469
96595200,444,239730,73430837.3827,61192364.0543,27542.9567,731304753515.8007,12238473.3284
96422400,444,239730,73430837.0898,61192364.0543,27542.9567,731308995430.737,12238473.0355
96249600,444,239730,73430948.866,61192364.0543,27542.9567,731314136084.5907,12238584.8117
96076800,444,239730,73430836.8652,61192364.0543,27542.9567,731317079758.5641,12238472.8109
95904000,445,239730,73437514.8179,61192364.0543,27542.9567,731387666434.2021,12245150.7636
95731200,444,239730,73430836.8652,61192364.0543,27542.9567,731325434328.6498,12238472.8109
95558400,477,239262,73784994.6665,60926501.6105,26968.3526,734862507881.6813,12858493.056
95385600,487,238907,73813175.1018,60802545.8929,26713.001,735151444478.384,13010629.2089
95212800,496,238563,73583270.1921,60572562.5907,26242.0046,732866816408.5231,13010707.6014
95040000,499,238114,73570743.3367,60525133.1282,26146.7236,732747372425.8287,13045610.2085
94867200,500,237705,73476749.074,60460037.0214,26016.2478,731812654799.7393,13016712.0526
94694400,521,237211,73737911.0765,60327606.6325,25758.8754,734416542655.9865,13410304.444
94521600,581,236516,75052283.9521,60215647.4912,25546.3402,747514250013.9412,14836636.4609
94348800,656,235820,76365327.9392,59926472.2882,25069.1366,760597601279.5468,16438855.651
94176000,705,235104,77111563.4943,59688376.0597,24720.8155,768050074761.3674,17423187.4346
94003200,721,234473,77107766.7881,59483088.0295,24433.2333,768015408264.109,17624678.7586
93830400,782,234034,78277323.3539,59327890.7712,24221.7643,779666857179.5454,18949432.5827
93657600,797,233302,78468280.1495,59245857.0969,24117.4893,781570581805.3479,19222423.0526
93484800,913,232578,78892552.375,58100321.8545,22775.3655,785819399182.5511,20792230.5205
